Timestamp,1. Country,2. Gender,3. Grade/Year of Study,4. Self-Assessed Knowledge,2.1 Frequency of Use,2.2 Primary Use Cases,2.2.1 Output Reworking (Human-AI Teaming),2.2.2 Quality Perception,2.2.3 Efficiency and Value,2.2.4 Interaction Effort (Prompting),2.3 Confidence in Detection (Media Literacy),2.3.1 Fact-Checking Habits,2.3.2 Awareness of Hallucinations,2.3.3 Awareness of Bias,2.4 General Feeling,DS1.1 Technology Adoption Profile,DS1.2 Specific Frequency of Use,DS1.3 AI Perception,DS1.5 Guidelines on AI,"DS2.1 AI tools truly ""understand"" the meaning of the text they generate.","DS2.2 The information provided by AI is generally neutral, objective, and unbiased.",DS2.3 I think AI is inherently smarter and more capable than human beings.,DS2.4 I usually trust the factual accuracy of AI-generated answers without feeling the need to double-check other sources.,DS2.5 I clearly understand how a GenAI assistant generates its responses.,DS2.6 The way I request something to AI doesn’t have any impact on the quality of the result produced,DS3.1 Teachers will unfairly accuse me of using AI for my assignments even when I do not.,DS3.2 Using AI to do my homework will make me lose the ability to think critically and learn independently.,"DS3.3 The difficulty of distinguishing between human-created and AI-generated content (e.g., fake news, deepfakes).","DS3.5 AI tools might reinforce existing social biases and discrimination (e.g., gender, race, cultural stereotypes).",DS3.6 Unequal access to premium (paid) AI tools will create unfair advantages among students.,DS3.8 I worry that relying on AI to produce high-quality work makes me feel less capable or smart when I have to complete similar tasks on my own.,"DS4.1 I expect AI to significantly speed up my daily study/work tasks, making me more efficient.",DS4.2 I believe AI can perfectly tailor learning materials to match the individual learning pace and style of each student.,DS4.3 I expect AI to make learning more accessible and inclusive for students with diverse cognitive needs or language barriers.,DS4.4 I see AI as a non-judgmental tutor that is available 24/7 to answer my questions without making me feel inadequate.,DS4.5 I expect AI to provide better guidance for my future university or career choices than traditional school counselling.,Source Language
27/03/2026 17:02:24,Spain,Male,2nd year,1 - Absolute Beginner: I know almost nothing. I have heard the term but don't really know what it is or how to use it.,Daily,Translating texts or learning a language,I review the AI-generated output to identify potential errors and refine the text as necessary.,The AI produced a much better result than I could have.,It is a huge time saver.,Very little time (I usually accept the first answer it provides).,Very confident,I trust it completely and use it as is.,"Yes, occasionally.","Yes, frequently.",Curiosity,You are one of the first to try it out.,Daily,A personal tutor/mentor (to explain concepts and help me learn).,Agree,Agree,Strongly Disagree,Agree,Strongly Disagree,Disagree,Strongly Disagree,Slightly concerned,Slightly concerned,Slightly concerned,Not at all concerned,Slightly concerned,Strongly Disagree,Disagree,Agree,Strongly Disagree,Disagree,Agree,es
27/03/2026 17:00:59,Spain,Male,2nd year,"2 - Novice: I know the basic concepts and have seen AI tools, but I rarely or never use them myself.",A few times a week,"Brainstorming ideas and getting inspiration, Helping with homework / Lesson planning, Generating images or presentations","I read it to check for major errors, but keep it mostly intact.",The AI and I would have produced a similar result.,It is a huge time saver.,A moderate amount of time (I ask for a few adjustments or refinements).,Very confident,I ask the AI itself if it is sure about the answer.,"No, never.","No, never.","Curiosity, Enthusiasm",You are one of the first to try it out.,Daily,A smart search engine (to find information quickly and accurately).,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Moderately concerned,Slightly concerned,Slightly concerned,Slightly concerned,Moderately concerned,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Disagree,es
27/03/2026 16:58:17,Spain,Male,2nd year,3 - Intermediate: I use some AI tools occasionally for simple tasks and understand their basic functions.,Daily,"Brainstorming ideas and getting inspiration, Summarizing long documents or articles, Generating images or presentations",I review the AI-generated output to identify potential errors and refine the text as necessary.,The AI and I would have produced a similar result.,"It enriches my work (gives me ideas I wouldn't have had), but takes about the same amount of time.",A moderate amount of time (I ask for a few adjustments or refinements).,Very confident,I ask the AI itself if it is sure about the answer.,"Yes, occasionally.",I have never paid attention to this aspect.,"Curiosity, Hope, Suspicion",You are one of the first to try it out.,A few times a month,A personal tutor/mentor (to explain concepts and help me learn).,Strongly Agree,Disagree,Agree,Agree,Strongly Disagree,Disagree,Agree,Not at all concerned,Slightly concerned,Very concerned,Very concerned,Very concerned,Disagree,Disagree,Strongly Agree,Agree,Agree,Strongly Agree,es
27/03/2026 16:58:16,Spain,Male,2nd year,3 - Intermediate: I use some AI tools occasionally for simple tasks and understand their basic functions.,A few times a week,"Brainstorming ideas and getting inspiration, Solving math/logic problems or coding, Helping with homework / Lesson planning",I use it as a draft or inspiration and rewrite it heavily.,The AI and I would have produced a similar result.,"It enriches my work (gives me ideas I wouldn't have had), but takes about the same amount of time.",A moderate amount of time (I ask for a few adjustments or refinements).,Somewhat confident,I trust it completely and use it as is.,"No, never.","Yes, occasionally.",Curiosity,You only use it if it is strictly required for school or work.,A few times a month,A personal tutor/mentor (to explain concepts and help me learn).,Agree,Strongly Disagree,Disagree,Disagree,Agree,Agree,Strongly Disagree,Not at all concerned,Not at all concerned,Very concerned,Slightly concerned,Not at all concerned,Disagree,Agree,Agree,Agree,Agree,Disagree,es
27/03/2026 16:58:08,Spain,Male,2nd year,"4 - Advanced: I use AI tools regularly for various tasks and have a good understanding of their capabilities, limits, and potential biases.",A few times a week,"Summarizing long documents or articles, Solving math/logic problems or coding, Helping with homework / Lesson planning, Generating images or presentations","I read it to check for major errors, but keep it mostly intact.","My original work would have been better, but the AI was faster.",It has no significant impact on my time or effort.,A moderate amount of time (I ask for a few adjustments or refinements).,Somewhat confident,I ask the AI itself if it is sure about the answer.,"Yes, occasionally.","No, never.","Anxiety, Fear, Hope, Enthusiasm",You try it out after hearing good things from friends or colleagues.,A few times a week,A personal tutor/mentor (to explain concepts and help me learn).,Agree,Disagree,Disagree,Agree,Strongly Disagree,Disagree,Strongly Disagree,Slightly concerned,Very concerned,Extremely concerned,Extremely concerned,Slightly concerned,Agree,Strongly Agree,Disagree,Agree,Strongly Disagree,Disagree,es
27/03/2026 16:57:31,Spain,Male,2nd year,"2 - Novice: I know the basic concepts and have seen AI tools, but I rarely or never use them myself.",Rarely,"Brainstorming ideas and getting inspiration, Summarizing long documents or articles",I review the AI-generated output to identify potential errors and refine the text as necessary.,The AI and I would have produced a similar result.,It is a waste of time (I spend more time prompting and correcting than doing it myself).,A moderate amount of time (I ask for a few adjustments or refinements).,Very confident,"I do a quick search (e.g., Google, Wikipedia) to verify it.","No, never.",I have never paid attention to this aspect.,Enthusiasm,You only use it if it is strictly required for school or work.,Rarely,A creative assistant/collaborator (to brainstorm and co-create).,Agree,Strongly Agree,Disagree,Agree,Strongly Disagree,Disagree,Disagree,Slightly concerned,Very concerned,Extremely concerned,Moderately concerned,Not at all concerned,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Agree,Agree,es
27/03/2026 16:56:09,Spain,Male,2nd year,3 - Intermediate: I use some AI tools occasionally for simple tasks and understand their basic functions.,A few times a week,"Translating texts or learning a language, Summarizing long documents or articles, Generating images or presentations",I only use AI to review or correct content I have entirely written myself.,The AI produced a much better result than I could have.,It is a huge time saver.,Very little time (I usually accept the first answer it provides).,Very confident,"I do a quick search (e.g., Google, Wikipedia) to verify it.","Yes, occasionally.","Yes, occasionally.","Anxiety, Curiosity, Skepticism",You try it out after hearing good things from friends or colleagues.,A few times a week,A creative assistant/collaborator (to brainstorm and co-create).,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Moderately concerned,Moderately concerned,Moderately concerned,Moderately concerned,Moderately concerned,Agree,Agree,Agree,Agree,Agree,Agree,es
27/03/2026 16:55:56,Spain,Male,2nd year,3 - Intermediate: I use some AI tools occasionally for simple tasks and understand their basic functions.,Daily,"Brainstorming ideas and getting inspiration, Summarizing long documents or articles, Writing/drafting text (emails, essays, reports), Helping with homework / Lesson planning, Generating images or presentations","I read it to check for major errors, but keep it mostly intact.",The AI and I would have produced a similar result.,"It enriches my work (gives me ideas I wouldn't have had), but takes about the same amount of time.",A moderate amount of time (I ask for a few adjustments or refinements).,Very confident,"I do a quick search (e.g., Google, Wikipedia) to verify it.","Yes, occasionally.",I have never paid attention to this aspect.,Curiosity,You try it out after hearing good things from friends or colleagues.,Rarely,A smart search engine (to find information quickly and accurately).,Agree,Disagree,Agree,Strongly Disagree,Disagree,Agree,Agree,Not at all concerned,Very concerned,Very concerned,Moderately concerned,Moderately concerned,Strongly Disagree,Agree,Disagree,Agree,Disagree,Agree,es
27/03/2026 16:55:56,Spain,Male,2nd year,3 - Intermediate: I use some AI tools occasionally for simple tasks and understand their basic functions.,A few times a week,"Brainstorming ideas and getting inspiration, Summarizing long documents or articles, Helping with homework / Lesson planning, Generating images or presentations","I read it to check for major errors, but keep it mostly intact.",The AI and I would have produced a similar result.,"It enriches my work (gives me ideas I wouldn't have had), but takes about the same amount of time.",A moderate amount of time (I ask for a few adjustments or refinements).,Somewhat confident,I ask the AI itself if it is sure about the answer.,"Yes, frequently.","Yes, occasionally.","Curiosity, Hope",You try it out after hearing good things from friends or colleagues.,A few times a week,A personal tutor/mentor (to explain concepts and help me learn).,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Moderately concerned,Moderately concerned,Moderately concerned,Moderately concerned,Moderately concerned,Agree,Agree,Agree,Agree,Agree,Agree,es
27/03/2026 16:55:52,Spain,Male,2nd year,"4 - Advanced: I use AI tools regularly for various tasks and have a good understanding of their capabilities, limits, and potential biases.",A few times a month,Other (information search),"I read it to check for major errors, but keep it mostly intact.",The AI and I would have produced a similar result.,It is a huge time saver.,A moderate amount of time (I ask for a few adjustments or refinements).,Somewhat confident,I ask the AI itself if it is sure about the answer.,"Yes, occasionally.","No, never.",Curiosity,You try it out after hearing good things from friends or colleagues.,A few times a week,A personal tutor/mentor (to explain concepts and help me learn).,Strongly Agree,Agree,Agree,Strongly Disagree,Disagree,Agree,Agree,Moderately concerned,Moderately concerned,Moderately concerned,Moderately concerned,Moderately concerned,Agree,Disagree,Agree,Agree,Agree,Agree,es
27/03/2026 16:55:36,Spain,Male,2nd year,"2 - Novice: I know the basic concepts and have seen AI tools, but I rarely or never use them myself.",A few times a week,"Brainstorming ideas and getting inspiration, Translating texts or learning a language",I only use AI to review or correct content I have entirely written myself.,The AI produced a much better result than I could have.,It is a huge time saver.,"A significant amount of time (I engage in long conversations, going back and forth until the output is perfect).",Not very confident,"I do a quick search (e.g., Google, Wikipedia) to verify it.","Yes, occasionally.","Yes, occasionally.",Curiosity,You try it out after hearing good things from friends or colleagues.,A few times a month,A creative assistant/collaborator (to brainstorm and co-create).,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Moderately concerned,Moderately concerned,Very concerned,Extremely concerned,Extremely concerned,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,es
27/03/2026 16:55:32,Spain,Male,2nd year,"4 - Advanced: I use AI tools regularly for various tasks and have a good understanding of their capabilities, limits, and potential biases.",A few times a week,"Brainstorming ideas and getting inspiration, Summarizing long documents or articles, Solving math/logic problems or coding, Generating images or presentations",I review the AI-generated output to identify potential errors and refine the text as necessary.,The AI and I would have produced a similar result.,It is a huge time saver.,A moderate amount of time (I ask for a few adjustments or refinements).,Somewhat confident,"I do a quick search (e.g., Google, Wikipedia) to verify it.","No, never.","No, never.","Excitement, Curiosity, Hope",You try it out after hearing good things from friends or colleagues.,A few times a week,A smart search engine (to find information quickly and accurately).,Agree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Moderately concerned,Moderately concerned,Moderately concerned,Moderately concerned,Moderately concerned,Disagree,Agree,Agree,Agree,Agree,Agree,es
27/03/2026 16:55:24,Spain,Male,2nd year,"4 - Advanced: I use AI tools regularly for various tasks and have a good understanding of their capabilities, limits, and potential biases.",Daily,"Brainstorming ideas and getting inspiration, Summarizing long documents or articles, Writing/drafting text (emails, essays, reports), Solving math/logic problems or coding, Generating images or presentations",I review the AI-generated output to identify potential errors and refine the text as necessary.,The AI and I would have produced a similar result.,"It enriches my work (gives me ideas I wouldn't have had), but takes about the same amount of time.",A moderate amount of time (I ask for a few adjustments or refinements).,Somewhat confident,I ask the AI itself if it is sure about the answer.,"Yes, frequently.","Yes, frequently.","Curiosity, Fear, Suspicion",You wait until it becomes mainstream and most people are using it.,A few times a week,A personal tutor/mentor (to explain concepts and help me learn).,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Not at all concerned,Slightly concerned,Slightly concerned,Slightly concerned,Slightly concerned,Disagree,Agree,Agree,Agree,Agree,Agree,es
27/03/2026 16:54:12,Spain (Catalonia),Male,2nd year,3 - Intermediate: I use some AI tools occasionally for simple tasks and understand their basic functions.,A few times a week,"Brainstorming ideas and getting inspiration, Translating texts or learning a language, Summarizing long documents or articles, Writing/drafting text (emails, essays, reports), Solving math/logic problems or coding, Helping with homework / Lesson planning, Generating images or presentations",I copy and paste it directly without reading it thoroughly.,The AI produced a much better result than I could have.,"It enriches my work (gives me ideas I wouldn't have had), but takes about the same amount of time.",It takes so much time that sometimes I just give up and do the work myself.,Very confident,I trust it completely and use it as is.,"Yes, frequently.",I have never paid attention to this aspect.,"Anxiety, Hope, Suspicion",You only use it if it is strictly required for school or work.,A few times a week,A shortcut (to do the heavy lifting or do my assignments for me).,Agree,Agree,Agree,Disagree,Strongly Agree,Strongly Disagree,Agree,Not at all concerned,Not at all concerned,Not at all concerned,Not at all concerned,Slightly concerned,Agree,Strongly Disagree,Strongly Disagree,Agree,Disagree,Strongly Agree,es
27/03/2026 16:52:30,Spain,Male,2nd year,"4 - Advanced: I use AI tools regularly for various tasks and have a good understanding of their capabilities, limits, and potential biases.",Daily,"Brainstorming ideas and getting inspiration, Writing/drafting text (emails, essays, reports), Solving math/logic problems or coding","I read it to check for major errors, but keep it mostly intact.",The AI produced a much better result than I could have.,It is a huge time saver.,A moderate amount of time (I ask for a few adjustments or refinements).,Very confident,I ask the AI itself if it is sure about the answer.,"Yes, occasionally.","Yes, frequently.","Excitement, Anxiety, Fear",You try it out after hearing good things from friends or colleagues.,Daily,A personal tutor/mentor (to explain concepts and help me learn).,Strongly Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Slightly concerned,Extremely concerned,Very concerned,Not at all concerned,Slightly concerned,Agree,Strongly Disagree,Disagree,Agree,Disagree,Disagree,es
27/03/2026 16:52:13,Spain,Male,2nd year,3 - Intermediate: I use some AI tools occasionally for simple tasks and understand their basic functions.,A few times a week,"Translating texts or learning a language, Summarizing long documents or articles",I use it as a draft or inspiration and rewrite it heavily.,"My original work would have been better, but the AI was faster.","It enriches my work (gives me ideas I wouldn't have had), but takes about the same amount of time.",A moderate amount of time (I ask for a few adjustments or refinements).,Somewhat confident,I ask the AI itself if it is sure about the answer.,"Yes, occasionally.","Yes, occasionally.",Curiosity,You try it out after hearing good things from friends or colleagues.,A few times a week,A personal tutor/mentor (to explain concepts and help me learn).,Agree,Agree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Agree,Not at all concerned,Slightly concerned,Not at all concerned,Not at all concerned,Slightly concerned,Disagree,Strongly Disagree,Disagree,Agree,Strongly Disagree,Disagree,es
27/03/2026 16:51:01,Italy,Female,4th year,"2 - Novice: I know the basic concepts and have seen AI tools, but I rarely or never use them myself.",A few times a month,"Summarizing long documents or articles, Solving math/logic problems or coding, Generating images or presentations",I review the AI-generated output to identify potential errors and refine the text as necessary.,The AI produced a much better result than I could have.,"It enriches my work (gives me ideas I wouldn't have had), but takes about the same amount of time.","A significant amount of time (I engage in long conversations, going back and forth until the output is perfect).",Very confident,I systematically check primary and authoritative sources to confirm the data.,"Yes, frequently.","Yes, frequently.","Excitement, Curiosity, Fear",You wait until it becomes mainstream and most people are using it.,A few times a week,A personal tutor/mentor (to explain concepts and help me learn).,Strongly Agree,Disagree,Strongly Disagree,Agree,Disagree,Strongly Disagree,Agree,Moderately concerned,Not at all concerned,Moderately concerned,Not at all concerned,Moderately concerned,Disagree,Strongly Disagree,Strongly Agree,Agree,Strongly Disagree,Disagree,es
27/03/2026 12:22:54,Spain,Male,1st year,"5 - Expert: I have a deep understanding of how AI works, use it extensively, and could comfortably teach others how to use it responsibly.",Daily,"Brainstorming ideas and getting inspiration, Summarizing long documents or articles, Helping with homework / Lesson planning",I review the AI-generated output to identify potential errors and refine the text as necessary.,The AI and I would have produced a similar result.,It is a huge time saver.,"A significant amount of time (I engage in long conversations, going back and forth until the output is perfect).",Very confident,"I do a quick search (e.g., Google, Wikipedia) to verify it.","No, never.","Yes, occasionally.","Excitement, Fear, Hope",You are one of the first to try it out.,A few times a month,A shortcut (to do the heavy lifting or do my assignments for me).,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Not at all concerned,Not at all concerned,Not at all concerned,Not at all concerned,Slightly concerned,Strongly Agree,Agree,Strongly Agree,Disagree,Strongly Agree,Agree,es
27/03/2026 12:22:36,Spain,Female,5th year,"4 - Advanced: I use AI tools regularly for various tasks and have a good understanding of their capabilities, limits, and potential biases.",Daily,"Brainstorming ideas and getting inspiration, Translating texts or learning a language, Summarizing long documents or articles, Writing/drafting text (emails, essays, reports), Solving math/logic problems or coding, Helping with homework / Lesson planning, Generating images or presentations","I read it to check for major errors, but keep it mostly intact.",The AI produced a much better result than I could have.,It is a huge time saver.,"A significant amount of time (I engage in long conversations, going back and forth until the output is perfect).",Somewhat confident,"I do a quick search (e.g., Google, Wikipedia) to verify it.","Yes, occasionally.",I have never paid attention to this aspect.,"Curiosity, Hope, Skepticism, Enthusiasm, Suspicion",You are one of the first to try it out.,Daily,A creative assistant/collaborator (to brainstorm and co-create).,Strongly Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Slightly concerned,Not at all concerned,Not at all concerned,Not at all concerned,Not at all concerned,Disagree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,es
27/03/2026 12:11:41,Spain,Male,1st year,"4 - Advanced: I use AI tools regularly for various tasks and have a good understanding of their capabilities, limits, and potential biases.",A few times a week,Summarizing long documents or articles,I review the AI-generated output to identify potential errors and refine the text as necessary.,The AI and I would have produced a similar result.,It is a huge time saver.,A moderate amount of time (I ask for a few adjustments or refinements).,Very confident,I ask the AI itself if it is sure about the answer.,"Yes, occasionally.","Yes, occasionally.","Excitement, Curiosity",You try it out after hearing good things from friends or colleagues.,A few times a week,A smart search engine (to find information quickly and accurately).,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Moderately concerned,Moderately concerned,Moderately concerned,Moderately concerned,Moderately concerned,Disagree,Agree,Agree,Agree,Agree,Agree,es
27/03/2026 12:03:07,Spain,Male,5th year,"4 - Advanced: I use AI tools regularly for various tasks and have a good understanding of their capabilities, limits, and potential biases.",Daily,"Brainstorming ideas and getting inspiration, Translating texts or learning a language, Summarizing long documents or articles, Writing/drafting text (emails, essays, reports), Solving math/logic problems or coding, Generating images or presentations",I review the AI-generated output to identify potential errors and refine the text as necessary.,The AI produced a much better result than I could have.,"It enriches my work (gives me ideas I wouldn't have had), but takes about the same amount of time.",A moderate amount of time (I ask for a few adjustments or refinements).,Very confident,I trust it completely and use it as is.,"Yes, occasionally.","Yes, occasionally.","Excitement, Fear, Hope",You try it out after hearing good things from friends or colleagues.,A few times a week,A smart search engine (to find information quickly and accurately).,Agree,Strongly Agree,Agree,Agree,Agree,Disagree,Disagree,Not at all concerned,Not at all concerned,Not at all concerned,Slightly concerned,Slightly concerned,Disagree,Agree,Agree,Agree,Disagree,Agree,es
27/03/2026 12:01:14,Spain,Male,5th year,"2 - Novice: I know the basic concepts and have seen AI tools, but I rarely or never use them myself.",Daily,"Summarizing long documents or articles, Solving math/logic problems or coding, Helping with homework / Lesson planning, Generating images or presentations",I review the AI-generated output to identify potential errors and refine the text as necessary.,The AI produced a much better result than I could have.,It is a huge time saver.,Very little time (I usually accept the first answer it provides).,Not very confident,"I do a quick search (e.g., Google, Wikipedia) to verify it.","Yes, occasionally.","Yes, occasionally.",Curiosity,You only use it if it is strictly required for school or work.,Daily,A smart search engine (to find information quickly and accurately).,Strongly Agree,Agree,Agree,Disagree,Agree,Strongly Agree,Disagree,Slightly concerned,Moderately concerned,Very concerned,Moderately concerned,Not at all concerned,Agree,Agree,Agree,Disagree,Agree,Strongly Disagree,es
27/03/2026 12:00:39,Spain,Male,5th year,3 - Intermediate: I use some AI tools occasionally for simple tasks and understand their basic functions.,Daily,"Brainstorming ideas and getting inspiration, Translating texts or learning a language, Summarizing long documents or articles, Writing/drafting text (emails, essays, reports), Solving math/logic problems or coding, Helping with homework / Lesson planning",I use it as a draft or inspiration and rewrite it heavily.,The AI produced a much better result than I could have.,It is a huge time saver.,A moderate amount of time (I ask for a few adjustments or refinements).,Very confident,I trust it completely and use it as is.,"No, never.","No, never.","Excitement, Curiosity, Skepticism",You only use it if it is strictly required for school or work.,Daily,A smart search engine (to find information quickly and accurately).,Agree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Moderately concerned,Moderately concerned,Moderately concerned,Moderately concerned,Moderately concerned,Strongly Agree,Agree,Disagree,Agree,Disagree,Agree,es
27/03/2026 11:55:17,Italy,Male,5th year,"2 - Novice: I know the basic concepts and have seen AI tools, but I rarely or never use them myself.",Daily,Summarizing long documents or articles,I only use AI to review or correct content I have entirely written myself.,The AI produced a much better result than I could have.,"It enriches my work (gives me ideas I wouldn't have had), but takes about the same amount of time.",A moderate amount of time (I ask for a few adjustments or refinements).,Very confident,I ask the AI itself if it is sure about the answer.,I didn't know AI could do that.,I have never paid attention to this aspect.,"Excitement, Curiosity, Enthusiasm",You try it out after hearing good things from friends or colleagues.,A few times a week,A creative assistant/collaborator (to brainstorm and co-create).,Agree,Agree,Agree,Strongly Agree,Agree,Disagree,Agree,Slightly concerned,Slightly concerned,Moderately concerned,Slightly concerned,Slightly concerned,Disagree,Agree,Agree,Agree,Agree,Agree,es
27/03/2026 11:53:04,Spain,Male,5th year,3 - Intermediate: I use some AI tools occasionally for simple tasks and understand their basic functions.,Rarely,Other (collecting information),I use it as a draft or inspiration and rewrite it heavily.,The AI and I would have produced a similar result.,It has no significant impact on my time or effort.,Very little time (I usually accept the first answer it provides).,Very confident,"I do a quick search (e.g., Google, Wikipedia) to verify it.","Yes, occasionally.",I have never paid attention to this aspect.,Skepticism,You only use it if it is strictly required for school or work.,Rarely,A smart search engine (to find information quickly and accurately).,Agree,Disagree,Strongly Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Slightly concerned,Very concerned,Very concerned,Not at all concerned,Not at all concerned,Agree,Disagree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,es
27/03/2026 11:53:01,Spain,Male,5th year,"4 - Advanced: I use AI tools regularly for various tasks and have a good understanding of their capabilities, limits, and potential biases.",A few times a week,"Solving math/logic problems or coding, Helping with homework / Lesson planning",I review the AI-generated output to identify potential errors and refine the text as necessary.,The AI produced a much better result than I could have.,It is a huge time saver.,Very little time (I usually accept the first answer it provides).,Somewhat confident,I ask the AI itself if it is sure about the answer.,"Yes, occasionally.","No, never.","Hope, Skepticism, Suspicion",You try it out after hearing good things from friends or colleagues.,A few times a week,A shortcut (to do the heavy lifting or do my assignments for me).,Strongly Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Moderately concerned,Slightly concerned,Slightly concerned,Slightly concerned,Slightly concerned,Agree,Strongly Agree,Agree,Agree,Disagree,Strongly Agree,es
27/03/2026 11:52:09,Spain,Male,5th year,3 - Intermediate: I use some AI tools occasionally for simple tasks and understand their basic functions.,Daily,"Brainstorming ideas and getting inspiration, Translating texts or learning a language, Summarizing long documents or articles, Writing/drafting text (emails, essays, reports), Solving math/logic problems or coding, Helping with homework / Lesson planning, Generating images or presentations","I read it to check for major errors, but keep it mostly intact.",The AI and I would have produced a similar result.,It is a huge time saver.,"A significant amount of time (I engage in long conversations, going back and forth until the output is perfect).",Very confident,"I do a quick search (e.g., Google, Wikipedia) to verify it.","Yes, frequently.","Yes, occasionally.",Hope,You wait until it becomes mainstream and most people are using it.,Rarely,A personal tutor/mentor (to explain concepts and help me learn).,Strongly Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Moderately concerned,Very concerned,Very concerned,Very concerned,Very concerned,Disagree,Agree,Agree,Disagree,Agree,Agree,es
27/03/2026 11:51:07,Ghana,Male,5th year,3 - Intermediate: I use some AI tools occasionally for simple tasks and understand their basic functions.,A few times a week,"Writing/drafting text (emails, essays, reports), Helping with homework / Lesson planning",I only use AI to review or correct content I have entirely written myself.,The AI produced a much better result than I could have.,It is a huge time saver.,A moderate amount of time (I ask for a few adjustments or refinements).,Somewhat confident,I ask the AI itself if it is sure about the answer.,"Yes, occasionally.",I have never paid attention to this aspect.,"Excitement, Curiosity, Hope",You only use it if it is strictly required for school or work.,A few times a week,A smart search engine (to find information quickly and accurately).,Disagree,Agree,Agree,Disagree,Disagree,Strongly Disagree,Disagree,Very concerned,Slightly concerned,Moderately concerned,Moderately concerned,Slightly concerned,Disagree,Agree,Disagree,Agree,Strongly Disagree,Disagree,es
27/03/2026 11:51:06,Spain,Male,1st year,"5 - Expert: I have a deep understanding of how AI works, use it extensively, and could comfortably teach others how to use it responsibly.",A few times a week,"Brainstorming ideas and getting inspiration, Translating texts or learning a language, Summarizing long documents or articles, Writing/drafting text (emails, essays, reports), Solving math/logic problems or coding, Helping with homework / Lesson planning, Generating images or presentations",I review the AI-generated output to identify potential errors and refine the text as necessary.,"My original work would have been better, but the AI was faster.",It is a huge time saver.,"A significant amount of time (I engage in long conversations, going back and forth until the output is perfect).",Very confident,"I do a quick search (e.g., Google, Wikipedia) to verify it.","No, never.","No, never.","Curiosity, Hope, Suspicion",You only use it if it is strictly required for school or work.,A few times a week,A smart search engine (to find information quickly and accurately).,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Disagree,Very concerned,Extremely concerned,Extremely concerned,Slightly concerned,Moderately concerned,Disagree,Agree,Strongly Agree,Agree,Disagree,Agree,es
27/03/2026 11:51:04,Spain,Male,1st year,"4 - Advanced: I use AI tools regularly for various tasks and have a good understanding of their capabilities, limits, and potential biases.",Daily,"Summarizing long documents or articles, Writing/drafting text (emails, essays, reports), Generating images or presentations",I use it as a draft or inspiration and rewrite it heavily.,The AI and I would have produced a similar result.,It is a huge time saver.,"A significant amount of time (I engage in long conversations, going back and forth until the output is perfect).",Somewhat confident,"I do a quick search (e.g., Google, Wikipedia) to verify it.","Yes, occasionally.","Yes, occasionally.","Excitement, Curiosity, Hope",You wait until it becomes mainstream and most people are using it.,Daily,A creative assistant/collaborator (to brainstorm and co-create).,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Moderately concerned,Moderately concerned,Moderately concerned,Moderately concerned,Moderately concerned,Disagree,Agree,Agree,Agree,Agree,Agree,es
27/03/2026 11:50:00,Spain,Male,5th year,"4 - Advanced: I use AI tools regularly for various tasks and have a good understanding of their capabilities, limits, and potential biases.",Daily,"Helping with homework / Lesson planning, Generating images or presentations, Other (diet planning)",I review the AI-generated output to identify potential errors and refine the text as necessary.,The AI and I would have produced a similar result.,"It enriches my work (gives me ideas I wouldn't have had), but takes about the same amount of time.","A significant amount of time (I engage in long conversations, going back and forth until the output is perfect).",Somewhat confident,I trust it completely and use it as is.,"Yes, occasionally.","No, never.","Curiosity, Hope, Enthusiasm",You try it out after hearing good things from friends or colleagues.,A few times a week,A personal tutor/mentor (to explain concepts and help me learn).,Disagree,Agree,Strongly Agree,Agree,Strongly Agree,Disagree,Strongly Disagree,Moderately concerned,Very concerned,Extremely concerned,Not at all concerned,Slightly concerned,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Disagree,es
