0. Timestamp,1. Country,2. Gender,3. Age Group,4. Years of Teaching Experience,5. Main Subject Taught,6. Self-Assessed Knowledge: How knowledgeable do you consider yourself about Artificial Intelligence?,2.1 Frequency of Use: How often do you currently use Generative AI tools?,2.2 Primary Use Cases: What are the main tasks you use AI for?,"2.2.1 Output Reworking: When you generate text or content using AI, how do you typically handle the output?",2.2.2 Quality Perception: How do you usually evaluate the quality of the AI-generated output compared to what you could have done on your own?,"2.2.3 Efficiency and Value: Overall, how does using AI affect the time and effort required for your tasks?",2.2.4 Interaction Effort (Prompting): How much time and effort do you usually spend interacting with the AI to get a satisfactory result?,2.3 Confidence in Detection: How confident are you in your ability to distinguish a text or image created by a human from one generated by AI?,"2.3.1 Fact-Checking Habits: When an AI tool provides you with new historical, scientific, or factual information, what do you usually do?","2.3.2 Awareness of Hallucinations: Have you ever noticed an AI tool completely inventing a source, fact, or name that sounded extremely convincing but was actually fake?",2.3.3 Awareness of Bias: Have you ever noticed that AI-generated images or texts tend to reflect cultural or gender stereotypes?,"2.4 General Feeling: When you think about the integration of AI in school and education, which of the following feelings prevail?",DT1.1 Technology Adoption Profile: When a new digital technology is released,DT1.2 Specific Frequency of Use: How often do you use Generative AI tools specifically for school-related or work-related tasks?,DT1.3 AI Perception: You see AI primarily as,"DT1.4 I feel I possess the right pedagogical strategies to integrate AI into my lessons in a way that truly enhances learning, rather than just acting as a shortcut",DT1.5 Guidelines on AI: My school provides clear guidelines and support on how to use AI in the classroom.,"DT2.1 AI tools truly ""understand"" the meaning of the text they generate.","DT2.2 The information provided by AI is generally neutral, objective, and unbiased.",DT2.3 I think AI is inherently smarter and more capable than human beings.,DT2.4 I usually trust the factual accuracy of AI-generated answers without feeling the need to double-check other sources.,DT2.5 I clearly understand how a GenAI assistant generates its responses.,DT2.6 The way I request something to AI doesn‚Äôt have any impact on the quality of the result produced,DT3.1 The widespread use of AI makes it impossible to assess students' real learning and capabilities accurately.,"DT3.2 Relying on AI will reduce students' critical thinking, creativity, and problem-solving skills.","DT3.3 The difficulty of distinguishing between human-created and AI-generated content (e.g., fake news, deepfakes).","DT3.4 How AI platforms collect, use, and store the personal data and inputs of my students.","DT3.5 AI tools might reinforce existing social biases and discrimination (e.g., gender, race, cultural stereotypes).",DT3.6 Unequal access to premium (paid) AI tools will create unfair advantages among students.,DT3.7 The constant learning pressure to keep up with new digital and AI tools causes me stress and anxiety.,DT3.8 I worry that relying on AI to produce high-quality work makes me feel less capable or smart when I have to complete similar tasks on my own.,"DT4.1 I expect AI to significantly speed up my daily study/work tasks, making me more efficient.",DT4.2 I believe AI can perfectly tailor learning materials to match the individual learning pace and style of each student.,DT4.3 I expect AI to make learning more accessible and inclusive for students with diverse cognitive needs or language barriers.,"DT4.4. I expect AI to take over administrative and grading tasks, freeing up my time to focus more on human interaction and mentoring."
30/03/2026 18:40:17,Slovenia,Female,41-50,16-25 years,"STEM (Math, Science, IT)",1 - Absolute Beginner: I know almost nothing. I have heard the term but don't really know what it is or how to use it.,Rarely,"Brainstorming ideas and getting inspiration, Helping with homework / Lesson planning",I review the AI-generated output to identify potential errors and refine the text as necessary.,The AI and I would have produced a similar result.,"It enriches my work (gives me ideas I wouldn't have had), but takes about the same amount of time.",A moderate amount of time (I ask for a few adjustments or refinements).,Not very confident,"I do a quick search (e.g., Google, Wikipedia) to verify it.","No, never.","Yes, occasionally.","Anxiety, Fear, Skepticism",You wait until it becomes mainstream and most people are using it.,Never,A shortcut (to do the heavy lifting or do my assignments for me).,Disagree,Disagree,Strongly Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Very concerned,Very concerned,Extremely concerned,Extremely concerned,Moderately concerned,Very concerned,Agree,Agree,Agree,Disagree,Agree,Agree
30/03/2026 20:51:30,Slovenia,Female,Over 60,Over 25 years,razredni pouk,"2 - Novice: I know the basic concepts and have seen AI tools, but I rarely or never use them myself.",Rarely,Helping with homework / Lesson planning,I only use AI to review or correct content I have entirely written myself.,The AI and I would have produced a similar result.,It is a huge time saver.,Very little time (I usually accept the first answer it provides).,Not at all confident,I systematically check primary and authoritative sources to confirm the data.,"Yes, occasionally.",I have never paid attention to this aspect.,Suspicion,You wait until it becomes mainstream and most people are using it.,Rarely,A creative assistant/collaborator (to brainstorm and co-create).,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Strongly Disagree,Disagree,Moderately concerned,Extremely concerned,Very concerned,Very concerned,Moderately concerned,Moderately concerned,Agree,Disagree,Disagree,Disagree,Disagree,Disagree
30/03/2026 21:21:48,Slovenia,Female,30-40,16-25 years,posebne potrebe,3 - Intermediate: I use some AI tools occasionally for simple tasks and understand their basic functions.,A few times a month,"Translating texts or learning a language, Helping with homework / Lesson planning",I only use AI to review or correct content I have entirely written myself.,"My original work would have been better, but the AI was faster.","It enriches my work (gives me ideas I wouldn't have had), but takes about the same amount of time.",A moderate amount of time (I ask for a few adjustments or refinements).,Not at all confident,I systematically check primary and authoritative sources to confirm the data.,"Yes, occasionally.",I have never paid attention to this aspect.,"Skepticism, Suspicion",You only use it if it is strictly required for school or work.,A few times a month,A personal tutor/mentor (to explain concepts and help me learn).,Disagree,Strongly Disagree,Disagree,Disagree,Agree,Strongly Disagree,Strongly Disagree,Agree,Very concerned,Moderately concerned,Very concerned,Extremely concerned,Moderately concerned,Moderately concerned,Agree,Agree,Agree,Disagree,Disagree,Disagree
30/03/2026 23:50:23,Slovenia,Female,41-50,6-15 years,Languages,3 - Intermediate: I use some AI tools occasionally for simple tasks and understand their basic functions.,A few times a month,"Brainstorming ideas and getting inspiration, Translating texts or learning a language, Helping with homework / Lesson planning",I review the AI-generated output to identify potential errors and refine the text as necessary.,"My original work would have been better, but the AI was faster.","It enriches my work (gives me ideas I wouldn't have had), but takes about the same amount of time.",A moderate amount of time (I ask for a few adjustments or refinements).,Somewhat confident,"I do a quick search (e.g., Google, Wikipedia) to verify it.","No, never.",I have never paid attention to this aspect.,"Option 1, Suspicion",You try it out after hearing good things from friends or colleagues.,A few times a month,A personal tutor/mentor (to explain concepts and help me learn).,Strongly Agree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Strongly Disagree,Very concerned,Very concerned,Extremely concerned,Very concerned,Moderately concerned,Slightly concerned,Strongly disagree,Strongly disagree,Disagree,Agree,Disagree,Strongly Disagree
31/03/2026 05:35:40,Slovenia,Female,30-40,6-15 years,gospodinjstvo,"2 - Novice: I know the basic concepts and have seen AI tools, but I rarely or never use them myself.",Rarely,"Translating texts or learning a language, Other _______",I only use AI to review or correct content I have entirely written myself.,"My original work would have been better, but the AI was faster.",It is a waste of time (I spend more time prompting and correcting than doing it myself).,It takes so much time that sometimes I just give up and do the work myself.,Not at all confident,"I do a quick search (e.g., Google, Wikipedia) to verify it.","Yes, occasionally.",I have never paid attention to this aspect.,"Fear, Skepticism, Suspicion",You only use it if it is strictly required for school or work.,Rarely,An entertainment tool (just for fun).,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Moderately concerned,Very concerned,Very concerned,Very concerned,Very concerned,Moderately concerned,Strongly agree,Strongly agree,Disagree,Disagree,Disagree,Disagree
31/03/2026 07:03:49,Slovenia,Female,51-60,16-25 years,"STEM (Math, Science, IT)","4 - Advanced: I use AI tools regularly for various tasks and have a good understanding of their capabilities, limits, and potential biases.",A few times a week,"Brainstorming ideas and getting inspiration, ",I use it as a draft or inspiration and rewrite it heavily.,"My original work would have been better, but the AI was faster.",It has no significant impact on my time or effort.,A moderate amount of time (I ask for a few adjustments or refinements).,Somewhat confident,I systematically check primary and authoritative sources to confirm the data.,"Yes, frequently.","Yes, frequently.",Skepticism,You try it out after hearing good things from friends or colleagues.,A few times a week,A creative assistant/collaborator (to brainstorm and co-create).,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Strongly Agree,Moderately concerned,Very concerned,Moderately concerned,Moderately concerned,Very concerned,Very concerned,Strongly disagree,Disagree,Disagree,Disagree,Agree,Disagree
31/03/2026 07:22:02,Slovenia,Female,Under 30,0-5 years,Dodatna strokovna pomoč,3 - Intermediate: I use some AI tools occasionally for simple tasks and understand their basic functions.,A few times a month,"Brainstorming ideas and getting inspiration, Translating texts or learning a language",I review the AI-generated output to identify potential errors and refine the text as necessary.,"My original work would have been better, but the AI was faster.",It is a huge time saver.,A moderate amount of time (I ask for a few adjustments or refinements).,Somewhat confident,"I do a quick search (e.g., Google, Wikipedia) to verify it.","Yes, occasionally.",I have never paid attention to this aspect.,"Anxiety, Skepticism",You try it out after hearing good things from friends or colleagues.,A few times a month,A smart search engine (to find information quickly and accurately).,Agree,Agree,Disagree,Agree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Extremely concerned,Extremely concerned,Extremely concerned,Extremely concerned,Extremely concerned,Extremely concerned,Agree,Disagree,Agree,Disagree,Agree,Disagree
31/03/2026 08:38:57,Slovenia,Female,30-40,6-15 years,Poučevanje učencev s posebnimi potrebami,3 - Intermediate: I use some AI tools occasionally for simple tasks and understand their basic functions.,Never,"Brainstorming ideas and getting inspiration, Summarizing long documents or articles, Pisanje/osnutek besedila (e-poštna sporočila, eseji, poročila), Helping with homework / Lesson planning",I review the AI-generated output to identify potential errors and refine the text as necessary.,The AI and I would have produced a similar result.,It is a huge time saver.,Very little time (I usually accept the first answer it provides).,Not at all confident,"I do a quick search (e.g., Google, Wikipedia) to verify it.","No, never.",I have never paid attention to this aspect.,"Curiosity, Skepticism",You try it out after hearing good things from friends or colleagues.,A few times a week,A smart search engine (to find information quickly and accurately).,Agree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Strongly Disagree,Moderately concerned,Extremely concerned,Extremely concerned,Extremely concerned,Extremely concerned,Not at all concerned,Disagree,Disagree,Disagree,Agree,Agree,Strongly Disagree
31/03/2026 09:18:30,Slovenia,Female,30-40,6-15 years,specialno pedagoško delo,3 - Intermediate: I use some AI tools occasionally for simple tasks and understand their basic functions.,A few times a week,"Brainstorming ideas and getting inspiration, Pisanje/osnutek besedila (e-poštna sporočila, eseji, poročila)",I review the AI-generated output to identify potential errors and refine the text as necessary.,"My original work would have been better, but the AI was faster.","It enriches my work (gives me ideas I wouldn't have had), but takes about the same amount of time.",A moderate amount of time (I ask for a few adjustments or refinements).,Somewhat confident,"I do a quick search (e.g., Google, Wikipedia) to verify it.","Yes, occasionally.","No, never.","Curiosity, Hope",You try it out after hearing good things from friends or colleagues.,A few times a week,A smart search engine (to find information quickly and accurately).,Disagree,Agree,Agree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Slightly concerned,Slightly concerned,Moderately concerned,Slightly concerned,Not at all concerned,Not at all concerned,Agree,Disagree,Agree,Disagree,Disagree,Disagree
31/03/2026 12:35:12,Slovenia,Female,41-50,16-25 years,Razredni pouk,"2 - Novice: I know the basic concepts and have seen AI tools, but I rarely or never use them myself.",Daily,Brainstorming ideas and getting inspiration,I review the AI-generated output to identify potential errors and refine the text as necessary.,"The AI's output was poor/incorrect, and I had to redo most of it.","It enriches my work (gives me ideas I wouldn't have had), but takes about the same amount of time.",It takes so much time that sometimes I just give up and do the work myself.,Somewhat confident,I systematically check primary and authoritative sources to confirm the data.,"Yes, frequently.","No, never.",Skepticism,You wait until it becomes mainstream and most people are using it.,A few times a week,A creative assistant/collaborator (to brainstorm and co-create).,Strongly Agree,Strongly Agree,Disagree,Agree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Extremely concerned,Extremely concerned,Extremely concerned,Extremely concerned,Extremely concerned,Extremely concerned,Strongly agree,Agree,Agree,Agree,Agree,Agree
01/04/2026 11:13:00,Slovenia,Female,51-60,Over 25 years,"STEM (Math, Science, IT)",3 - Intermediate: I use some AI tools occasionally for simple tasks and understand their basic functions.,A few times a week,Brainstorming ideas and getting inspiration,I review the AI-generated output to identify potential errors and refine the text as necessary.,"My original work would have been better, but the AI was faster.","It enriches my work (gives me ideas I wouldn't have had), but takes about the same amount of time.",A moderate amount of time (I ask for a few adjustments or refinements).,Not at all confident,I systematically check primary and authoritative sources to confirm the data.,"Yes, occasionally.","Yes, occasionally.","Curiosity, Skepticism",You try it out after hearing good things from friends or colleagues.,A few times a week,A creative assistant/collaborator (to brainstorm and co-create).,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Moderately concerned,Very concerned,Very concerned,Very concerned,Very concerned,Very concerned,Agree,Disagree,Disagree,Disagree,Disagree,Agree
01/04/2026 11:23:01,Slovenia,Female,41-50,16-25 years,ŠVZ,3 - Intermediate: I use some AI tools occasionally for simple tasks and understand their basic functions.,Rarely,Translating texts or learning a language,I review the AI-generated output to identify potential errors and refine the text as necessary.,"My original work would have been better, but the AI was faster.",It has no significant impact on my time or effort.,A moderate amount of time (I ask for a few adjustments or refinements).,Somewhat confident,"I do a quick search (e.g., Google, Wikipedia) to verify it.","Yes, occasionally.","No, never.",Anxiety,You wait until it becomes mainstream and most people are using it.,Rarely,A creative assistant/collaborator (to brainstorm and co-create).,Disagree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Slightly concerned,Very concerned,Very concerned,Very concerned,Very concerned,Very concerned,Agree,Agree,Disagree,Disagree,Disagree,Disagree
01/04/2026 19:25:50,Slovenia,Female,51-60,Over 25 years,Vocational/Technical,3 - Intermediate: I use some AI tools occasionally for simple tasks and understand their basic functions.,A few times a week,"Brainstorming ideas and getting inspiration, Pisanje/osnutek besedila (e-poštna sporočila, eseji, poročila), Generating images or presentations",I use it as a draft or inspiration and rewrite it heavily.,The AI produced a much better result than I could have.,It is a huge time saver.,It takes so much time that sometimes I just give up and do the work myself.,Somewhat confident,I systematically check primary and authoritative sources to confirm the data.,"Yes, frequently.","Yes, occasionally.","Curiosity, Suspicion",You try it out after hearing good things from friends or colleagues.,A few times a month,A creative assistant/collaborator (to brainstorm and co-create).,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,Strongly Disagree,Moderately concerned,Moderately concerned,Moderately concerned,Moderately concerned,Slightly concerned,Slightly concerned,Disagree,Disagree,Agree,Agree,Agree,Strongly Disagree
27/03/2026 07:22:00,Spain,Male,51-60,Over 25 years,Vocational/Technical,3 - Intermediate: I use some AI tools occasionally for simple tasks and understand their basic functions.,A few times a month,"Brainstorming ideas and getting inspiration, Escriptura/redacció de textos (correus electrònics, assaigs, informes)",I review the AI-generated output to identify potential errors and refine the text as necessary.,The AI and I would have produced a similar result.,It is a huge time saver.,"A significant amount of time (I engage in long conversations, going back and forth until the output is perfect).",Not very confident,I systematically check primary and authoritative sources to confirm the data.,"Yes, occasionally.","Yes, occasionally.","Curiosity, Hope, Enthusiasm",You are one of the first to try it out.,A few times a month,A shortcut (to do the heavy lifting or do my assignments for me).,Disagree,Agree,Strongly Disagree,Disagree,Disagree,Disagree,Disagree,Strongly Agree,Very concerned,Very concerned,Extremely concerned,Very concerned,Very concerned,Very concerned,Disagree,Disagree,Agree,Agree,Agree,Agree
27/03/2026 12:40:34,Spain,Female,41-50,6-15 years,Vocational/Technical,3 - Intermediate: I use some AI tools occasionally for simple tasks and understand their basic functions.,A few times a month,Helping with homework / Lesson planning,I use it as a draft or inspiration and rewrite it heavily.,"My original work would have been better, but the AI was faster.",It is a huge time saver.,A moderate amount of time (I ask for a few adjustments or refinements).,Not very confident,"I do a quick search (e.g., Google, Wikipedia) to verify it.","Yes, occasionally.","Yes, frequently.","Anxiety, Curiosity, Skepticism",You wait until it becomes mainstream and most people are using it.,A few times a month,A creative assistant/collaborator (to brainstorm and co-create).,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Strongly Disagree,Moderately concerned,Very concerned,Very concerned,Very concerned,Moderately concerned,Slightly concerned,Disagree,Disagree,Agree,Agree,Agree,Disagree
27/03/2026 12:46:36,Spain,Female,51-60,6-15 years,Vocational/Technical,"2 - Novice: I know the basic concepts and have seen AI tools, but I rarely or never use them myself.",A few times a week,"Brainstorming ideas and getting inspiration, Summarizing long documents or articles, Generating images or presentations",I use it as a draft or inspiration and rewrite it heavily.,The AI and I would have produced a similar result.,It is a huge time saver.,"A significant amount of time (I engage in long conversations, going back and forth until the output is perfect).",Somewhat confident,"I do a quick search (e.g., Google, Wikipedia) to verify it.","Yes, occasionally.","Yes, frequently.","Curiosity, Fear, Enthusiasm",You try it out after hearing good things from friends or colleagues.,A few times a month,A shortcut (to do the heavy lifting or do my assignments for me).,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Moderately concerned,Extremely concerned,Extremely concerned,Very concerned,Extremely concerned,Extremely concerned,Disagree,Strongly disagree,Agree,Disagree,Agree,Agree
27/03/2026 12:48:47,Spain,Female,41-50,0-5 years,Vocational/Technical,3 - Intermediate: I use some AI tools occasionally for simple tasks and understand their basic functions.,A few times a week,"Brainstorming ideas and getting inspiration, Helping with homework / Lesson planning",I review the AI-generated output to identify potential errors and refine the text as necessary.,"My original work would have been better, but the AI was faster.",It is a huge time saver.,A moderate amount of time (I ask for a few adjustments or refinements).,Not at all confident,I systematically check primary and authoritative sources to confirm the data.,"Yes, occasionally.","Yes, occasionally.",Curiosity,You try it out after hearing good things from friends or colleagues.,A few times a week,A creative assistant/collaborator (to brainstorm and co-create).,Agree,Agree,Strongly Agree,Agree,Disagree,Disagree,Agree,Strongly Disagree,Very concerned,Extremely concerned,Moderately concerned,Very concerned,Moderately concerned,Moderately concerned,Disagree,Disagree,Agree,Agree,Agree,Agree
27/03/2026 13:40:00,Spain,Female,41-50,16-25 years,Vocational/Technical,3 - Intermediate: I use some AI tools occasionally for simple tasks and understand their basic functions.,A few times a week,"Brainstorming ideas and getting inspiration, Escriptura/redacció de textos (correus electrònics, assaigs, informes), Helping with homework / Lesson planning, Generating images or presentations",I review the AI-generated output to identify potential errors and refine the text as necessary.,The AI and I would have produced a similar result.,"It enriches my work (gives me ideas I wouldn't have had), but takes about the same amount of time.",A moderate amount of time (I ask for a few adjustments or refinements).,Somewhat confident,"I do a quick search (e.g., Google, Wikipedia) to verify it.",I didn't know AI could do that.,"Yes, frequently.","Fear, Hope, Skepticism",You try it out after hearing good things from friends or colleagues.,A few times a week,A creative assistant/collaborator (to brainstorm and co-create).,Agree,Disagree,Disagree,Disagree,Strongly Disagree,Agree,Disagree,Strongly Disagree,Slightly concerned,Very concerned,Very concerned,Very concerned,Very concerned,Very concerned,Disagree,Disagree,Agree,Agree,Agree,Agree
27/03/2026 16:48:22,Spain,Female,51-60,16-25 years,Vocational/Technical,3 - Intermediate: I use some AI tools occasionally for simple tasks and understand their basic functions.,A few times a month,"Brainstorming ideas and getting inspiration, Summarizing long documents or articles, Generating images or presentations",I use it as a draft or inspiration and rewrite it heavily.,"My original work would have been better, but the AI was faster.","It enriches my work (gives me ideas I wouldn't have had), but takes about the same amount of time.",A moderate amount of time (I ask for a few adjustments or refinements).,Somewhat confident,"I do a quick search (e.g., Google, Wikipedia) to verify it.","Yes, occasionally.","Yes, frequently.","Curiosity, Hope, Enthusiasm",You are one of the first to try it out.,A few times a month,A creative assistant/collaborator (to brainstorm and co-create).,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Strongly Agree,Not at all concerned,Extremely concerned,Extremely concerned,Extremely concerned,Extremely concerned,Moderately concerned,Strongly disagree,Strongly disagree,Strongly Agree,Agree,Agree,Strongly Agree
27/03/2026 19:47:05,Spain,Female,51-60,16-25 years,"STEM (Math, Science, IT)",3 - Intermediate: I use some AI tools occasionally for simple tasks and understand their basic functions.,A few times a month,Brainstorming ideas and getting inspiration,I use it as a draft or inspiration and rewrite it heavily.,"My original work would have been better, but the AI was faster.",It is a huge time saver.,A moderate amount of time (I ask for a few adjustments or refinements).,Somewhat confident,"I do a quick search (e.g., Google, Wikipedia) to verify it.","Yes, occasionally.","Yes, occasionally.",Curiosity,You try it out after hearing good things from friends or colleagues.,Rarely,A creative assistant/collaborator (to brainstorm and co-create).,Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Very concerned,Very concerned,Very concerned,Very concerned,Very concerned,Very concerned,Disagree,Agree,Agree,Agree,Agree,Agree
28/03/2026 08:05:34,Spain,Male,30-40,0-5 years,Esport,"4 - Advanced: I use AI tools regularly for various tasks and have a good understanding of their capabilities, limits, and potential biases.",Daily,"Escriptura/redacció de textos (correus electrònics, assaigs, informes), Solving math/logic problems or coding, Helping with homework / Lesson planning, Generating images or presentations",I review the AI-generated output to identify potential errors and refine the text as necessary.,The AI produced a much better result than I could have.,It is a huge time saver.,A moderate amount of time (I ask for a few adjustments or refinements).,Not very confident,I systematically check primary and authoritative sources to confirm the data.,"Yes, occasionally.","No, never.",Curiosity,You try it out after hearing good things from friends or colleagues.,Daily,A creative assistant/collaborator (to brainstorm and co-create).,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Not at all concerned,Slightly concerned,Slightly concerned,Extremely concerned,Very concerned,Very concerned,Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
28/03/2026 18:07:49,Spain,Male,30-40,6-15 years,Vocational/Technical,"4 - Advanced: I use AI tools regularly for various tasks and have a good understanding of their capabilities, limits, and potential biases.",Daily,"Brainstorming ideas and getting inspiration, Translating texts or learning a language, Summarizing long documents or articles, Escriptura/redacció de textos (correus electrònics, assaigs, informes), Solving math/logic problems or coding, Generating images or presentations",I use it as a draft or inspiration and rewrite it heavily.,The AI and I would have produced a similar result.,It is a huge time saver.,"A significant amount of time (I engage in long conversations, going back and forth until the output is perfect).",Not at all confident,I systematically check primary and authoritative sources to confirm the data.,"Yes, occasionally.","Yes, occasionally.","Excitement, Curiosity, Fear",You are one of the first to try it out.,Daily,A creative assistant/collaborator (to brainstorm and co-create).,Agree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Strongly Agree,Strongly Disagree,Moderately concerned,Moderately concerned,Moderately concerned,Extremely concerned,Very concerned,Extremely concerned,Strongly disagree,Strongly disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree
30/03/2026 09:57:32,Spain,Female,41-50,16-25 years,Vocational/Technical,3 - Intermediate: I use some AI tools occasionally for simple tasks and understand their basic functions.,Daily,"Brainstorming ideas and getting inspiration, Escriptura/redacció de textos (correus electrònics, assaigs, informes), Generating images or presentations",I review the AI-generated output to identify potential errors and refine the text as necessary.,The AI produced a much better result than I could have.,It is a huge time saver.,A moderate amount of time (I ask for a few adjustments or refinements).,Somewhat confident,"I do a quick search (e.g., Google, Wikipedia) to verify it.","Yes, occasionally.","Yes, occasionally.","Curiosity, Fear, Suspicion",You try it out after hearing good things from friends or colleagues.,A few times a month,A shortcut (to do the heavy lifting or do my assignments for me).,Agree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Strongly Agree,Moderately concerned,Moderately concerned,Very concerned,Very concerned,Very concerned,Very concerned,Disagree,Disagree,Agree,Agree,Agree,Agree
31/03/2026 16:40:29,Spain,Female,51-60,16-25 years,Vocational/Technical,3 - Intermediate: I use some AI tools occasionally for simple tasks and understand their basic functions.,A few times a week,"Translating texts or learning a language, Escriptura/redacció de textos (correus electrònics, assaigs, informes), Helping with homework / Lesson planning, Generating images or presentations",I use it as a draft or inspiration and rewrite it heavily.,"My original work would have been better, but the AI was faster.",It is a huge time saver.,A moderate amount of time (I ask for a few adjustments or refinements).,Somewhat confident,"I do a quick search (e.g., Google, Wikipedia) to verify it.",I didn't know AI could do that.,I have never paid attention to this aspect.,Curiosity,You wait until it becomes mainstream and most people are using it.,A few times a week,A shortcut (to do the heavy lifting or do my assignments for me).,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Moderately concerned,Moderately concerned,Extremely concerned,Extremely concerned,Moderately concerned,Moderately concerned,Disagree,Disagree,Agree,Agree,Agree,Agree
06/04/2026 20:07:44,Spain,Male,51-60,16-25 years,Vocational/Technical,3 - Intermediate: I use some AI tools occasionally for simple tasks and understand their basic functions.,A few times a week,"Summarizing long documents or articles, Solving math/logic problems or coding, Helping with homework / Lesson planning, Generating images or presentations",I review the AI-generated output to identify potential errors and refine the text as necessary.,The AI produced a much better result than I could have.,"It enriches my work (gives me ideas I wouldn't have had), but takes about the same amount of time.","A significant amount of time (I engage in long conversations, going back and forth until the output is perfect).",Not very confident,"I do a quick search (e.g., Google, Wikipedia) to verify it.","Yes, occasionally.","Yes, occasionally.","Hope, Skepticism, Suspicion",You try it out after hearing good things from friends or colleagues.,A few times a week,A creative assistant/collaborator (to brainstorm and co-create).,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Slightly concerned,Very concerned,Extremely concerned,Extremely concerned,Slightly concerned,Extremely concerned,Agree,Disagree,Disagree,Agree,Agree,Disagree
07/04/2026 09:40:43,Spain,Male,Under 30,0-5 years,Vocational/Technical,"4 - Advanced: I use AI tools regularly for various tasks and have a good understanding of their capabilities, limits, and potential biases.",A few times a week,"Brainstorming ideas and getting inspiration, Translating texts or learning a language, Summarizing long documents or articles, Escriptura/redacció de textos (correus electrònics, assaigs, informes)",I use it as a draft or inspiration and rewrite it heavily.,The AI and I would have produced a similar result.,It is a huge time saver.,A moderate amount of time (I ask for a few adjustments or refinements).,Not at all confident,I systematically check primary and authoritative sources to confirm the data.,"Yes, occasionally.","Yes, occasionally.","Curiosity, Hope, Suspicion",You try it out after hearing good things from friends or colleagues.,A few times a week,A creative assistant/collaborator (to brainstorm and co-create).,Agree,Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Slightly concerned,Not at all concerned,Slightly concerned,Slightly concerned,Slightly concerned,Not at all concerned,Strongly disagree,Strongly disagree,Strongly Agree,Agree,Strongly Agree,Strongly Agree
07/04/2026 10:18:56,Spain,Male,30-40,0-5 years,Vocational/Technical,3 - Intermediate: I use some AI tools occasionally for simple tasks and understand their basic functions.,Daily,"Brainstorming ideas and getting inspiration, Translating texts or learning a language, Escriptura/redacció de textos (correus electrònics, assaigs, informes), Helping with homework / Lesson planning",I review the AI-generated output to identify potential errors and refine the text as necessary.,"The AI's output was poor/incorrect, and I had to redo most of it.","It enriches my work (gives me ideas I wouldn't have had), but takes about the same amount of time.","A significant amount of time (I engage in long conversations, going back and forth until the output is perfect).",Somewhat confident,I trust it completely and use it as is.,"Yes, frequently.","No, never.","Curiosity, Skepticism, Suspicion",You try it out after hearing good things from friends or colleagues.,Daily,A smart search engine (to find information quickly and accurately).,Disagree,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Agree,Agree,Strongly Disagree,Very concerned,Very concerned,Very concerned,Not at all concerned,Slightly concerned,Not at all concerned,Disagree,Strongly disagree,Agree,Disagree,Agree,Strongly Agree
07/04/2026 10:28:04,Spain,Female,41-50,16-25 years,Vocational/Technical,3 - Intermediate: I use some AI tools occasionally for simple tasks and understand their basic functions.,A few times a month,"Translating texts or learning a language, Summarizing long documents or articles, Escriptura/redacció de textos (correus electrònics, assaigs, informes)",I review the AI-generated output to identify potential errors and refine the text as necessary.,The AI produced a much better result than I could have.,"It enriches my work (gives me ideas I wouldn't have had), but takes about the same amount of time.",A moderate amount of time (I ask for a few adjustments or refinements).,Somewhat confident,I systematically check primary and authoritative sources to confirm the data.,I didn't know AI could do that.,"Yes, occasionally.","Curiosity, Fear, Skepticism",You try it out after hearing good things from friends or colleagues.,A few times a month,A smart search engine (to find information quickly and accurately).,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Very concerned,Very concerned,Very concerned,Very concerned,Moderately concerned,Moderately concerned,Disagree,Disagree,Agree,Agree,Agree,Agree
